Тренирање на DQN агент...
DDQNAgent | Епизода  42 | Макс. позиција: -0.36 | Вкупна награда:   341.6 | Епсилон: 0.81
DDQNAgent | Епизода  43 | Макс. позиција: -0.30 | Вкупна награда:   371.2 | Епсилон: 0.81
DDQNAgent | Епизода  44 | Макс. позиција: -0.43 | Вкупна награда:    37.6 | Епсилон: 0.80
DDQNAgent | Епизода  45 | Макс. позиција: -0.32 | Вкупна награда:   370.3 | Епсилон: 0.80
DDQNAgent | Епизода  46 | Макс. позиција: -0.42 | Вкупна награда:   203.6 | Епсилон: 0.79
DDQNAgent | Епизода  47 | Макс. позиција: -0.48 | Вкупна награда:    69.2 | Епсилон: 0.79
DDQNAgent | Епизода  48 | Макс. позиција: -0.43 | Вкупна награда:    92.2 | Епсилон: 0.79
DDQNAgent | Епизода  49 | Макс. позиција: -0.33 | Вкупна награда:   247.2 | Епсилон: 0.78
DDQNAgent | Епизода  50 | Макс. позиција: -0.37 | Вкупна награда:   279.1 | Епсилон: 0.78
DDQNAgent | Епизода  51 | Макс. позиција: -0.48 | Вкупна награда:    24.2 | Епсилон: 0.77
DDQNAgent | Епизода  52 | Макс. позиција: -0.47 | Вкупна награда:   120.7 | Епсилон: 0.77
DDQNAgent | Епизода  53 | Макс. позиција: -0.23 | Вкупна награда:   843.3 | Епсилон: 0.77
DDQNAgent | Епизода  54 | Макс. позиција: -0.42 | Вкупна награда:   117.0 | Епсилон: 0.76
DDQNAgent | Епизода  55 | Макс. позиција: -0.44 | Вкупна награда:    65.2 | Епсилон: 0.76
DDQNAgent | Епизода  56 | Макс. позиција: -0.42 | Вкупна награда:   158.1 | Епсилон: 0.76
DDQNAgent | Епизода  57 | Макс. позиција: -0.47 | Вкупна награда:    47.2 | Епсилон: 0.75
DDQNAgent | Епизода  58 | Макс. позиција: -0.40 | Вкупна награда:   170.4 | Епсилон: 0.75
DDQNAgent | Епизода  59 | Макс. позиција: -0.50 | Вкупна награда:    58.3 | Епсилон: 0.74
DDQNAgent | Епизода  60 | Макс. позиција: -0.41 | Вкупна награда:   104.4 | Епсилон: 0.74
DDQNAgent | Епизода  61 | Макс. позиција: -0.41 | Вкупна награда:   173.8 | Епсилон: 0.74
DDQNAgent | Епизода  62 | Макс. позиција: -0.46 | Вкупна награда:    81.7 | Епсилон: 0.73
DDQNAgent | Епизода  63 | Макс. позиција: -0.49 | Вкупна награда:    48.2 | Епсилон: 0.73
